beer_name,style,brewery,city,abv,num_ratings,ba_score
Into The Forest,New England IPA,Beer Tree Brew Co.,Port Crane,7.9,1,4.67
Delicate Senses,American IPA,Greenport Harbor Brewing Company,Greenport,6.7,6,4.66
Shut This Shit Down,American Amber / Red Ale,Old Klaverack Brewery,Hudson,8.6,1,4.66
Bier De Noel,Winter Warmer,Resurgence Brewing Company,Buffalo,11,1,4.66
Permanent Midnight,American Porter,Woodstock Brewing,Phoenicia,7.5,2,4.65
Even More Jesus - Bourbon Maple Syrup Barrel-Aged Reserva,American Imperial Stout,Evil Twin Brewing,Brooklyn,12,4,4.64
Beckham's Brown Ale,American Brown Ale,Roots Brewing Company,Oneonta,5.1,2,4.64
Rage Of The Falcon,American IPA,The North Brewery,Endicott,7,1,4.64
Imperial Doughnut Maple Syrup Bourbon Barrel-Aged,American Imperial Porter,Evil Twin Brewing,Brooklyn,13,14,4.63
Amulet Sour Farmhouse Ale,Belgian Saison,Hudson Valley Brewery,Beacon,5,2,4.63
Citra Mosaic Pale Ale,American Pale Ale (APA),Catskill Brewery,Livingston Manor,5.7,1,4.63
Glow Up - Guava And Passion Fruit,Berliner Weisse,Folksbier Brewery,Brooklyn,4.6,1,4.63
All 5th Anniversary Everything - Banana,American Imperial Stout,Other Half Brewing Co.,Brooklyn,15.4,29,4.62
Double Dry Hopped Mass Riot,American IPA,Prison City Pub & Brewery,Auburn,6.7,6,4.62
Silent Majority (Cask),American Pale Ale (APA),District 96 Beer Factory,New City,5.4,1,4.62
Old Dorp Double IPA,American Imperial IPA,Great Flats,Schenectady,8.1,1,4.62
Wham Whams,American Imperial Stout,Prison City Pub & Brewery,Auburn,10.5,1,4.62
Squared,American IPA,The North Brewery,Endicott,7,1,4.62
Growing Up Absurd,American Imperial IPA,Root + Branch Brewing,Copiauge,8,11,4.61
Other Half / Burial - Velvet Magnum II,American Imperial Stout,Other Half Brewing Co.,Brooklyn,15,27,4.6
Riot In Vermont,New England IPA,Prison City Pub & Brewery,Auburn,6.5,22,4.6
Ourania - Pineapple + Coconut + Key Lime,Leipzig Gose,Mortalis Brewing Co.,Avon,4,1,4.6
Prometheus,American Imperial Stout,Mortalis Brewing Co.,Avon,10.5,1,4.6
"Tears Of The Goddess - Blueberry, Apricot And Jasmine Green Tea",American Wild Ale,Mortalis Brewing Co.,Avon,8,1,4.6
4th Anniversary,New England IPA,Other Half Brewing Co.,Brooklyn,10,201,4.59
Cerberus (Bourbon),American Imperial Stout,The North Brewery,Endicott,10,7,4.59
Heaven Beside You (Coconut),American Imperial Stout,LIC Beer Project,Queens,11,3,4.59
Yonkers Mosiac Pale Ale,American Pale Ale (APA),Yonkers Brewing Co.,Yonkers,5.6,1,4.59
Dam Citra IPA,American IPA,Copper City Brewing Co,Rome,7.3,1,4.59
The Great Jedi Purge,American Black Ale,The North Brewery,Endicott,7,1,4.59
3rd Anniversary Imperial IPA,New England IPA,Other Half Brewing Co.,Brooklyn,10,305,4.58
Demiurge,New England IPA,Hudson Valley Brewery,Beacon,8,20,4.58
Root + Branch / Hudson Valley - Compulsory Miseducation,American Imperial IPA,Root + Branch Brewing,Copiauge,8,10,4.58
"Hydra - Passion Fruit, Mango And Peach",American Wild Ale,Mortalis Brewing Co.,Avon,7.5,4,4.58
Overbite,American Black Ale,Spider Bite Beer Company,Holbrook,11,3,4.58
IPA,American IPA,Circa Brewing Co.,Brooklyn,6.8,2,4.58
Hell's Kitchen,American Imperial IPA,212 Brewing Company,New York,7.7,1,4.58
HDHC More Citra than All Citra,American Imperial IPA,Other Half Brewing Co.,Brooklyn,10.5,9,4.57
Do We Live In A Society Of Spectacle?,American Imperial IPA,Root + Branch Brewing,Copiauge,8,9,4.57
Alien Technology,Russian Imperial Stout,Alewife,Queens,10,3,4.57
Haute Blonde,Belgian Saison,Roots Brewing Company,Oneonta,5.6,2,4.57
Amber Ale,American Amber / Red Ale,WT Brews,Baldwinsville,5,1,4.57
Vanilla Gorilla,American Imperial Stout,Equilibrium Brewery,Middletown,12,1,4.57
The Dreamiest,New England IPA,Other Half Brewing Co.,Brooklyn,7.8,50,4.56
Vapor Ringz,New England IPA,Other Half Brewing Co.,Brooklyn,8.4,35,4.56
Pistachio Vanilla Cake,American Imperial Stout,Other Half Brewing Co.,Brooklyn,14.4,14,4.56
Sleight Of Hand,American Imperial IPA,Kills Boro Brewing Company,Staten Island,8,3,4.56
Irish Breakfast Stout,American Stout,Peekskill Brewery,Peekskill,5.7,3,4.56
Ye Olde Traverse,English Strong Ale,Climbing Bines Hop Farm,Penn Yan,6.5,2,4.56
4 Piece Pale Ale (Galaxy),American Pale Ale (APA),Prison City Pub & Brewery,Auburn,5.8,1,4.56
Double Dry Hopped Double Mosaic Dream,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,545,4.55
Double Dry Hopped Mylar Bags,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,439,4.55
Everyone Levitates Above Their Own Sea Of Hell,New England IPA,Root + Branch Brewing,Copiauge,8,13,4.55
Other Half / Omnipollo - Cookie Kooks (Pastrytown VIP Version),American Imperial Stout,Other Half Brewing Co.,Brooklyn,15.4,10,4.55
Glycerin: Boysenberry,New England IPA,Hudson Valley Brewery,Beacon,8,8,4.55
Robot Fish #14 Weyermann Pale/Ella,American IPA,Kings County Brewers Collective (KCBC),Brooklyn,6.6,2,4.55
Unoccupied Space,American Imperial Stout,Finback Brewery,Queens,12,1,4.55
Double Dry Hopped Double Mosaic Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,388,4.54
Sand City / Finback - Beach Front Avenue,American Imperial IPA,Sand City Brewing Co.,Northport,8,26,4.54
An Outstanding Contribution To The Historical Process,New England IPA,Hudson Valley Brewery,Beacon,6,19,4.54
Equilibrium / Finback - One Time For Your Mind,American Imperial IPA,Equilibrium Brewery,Middletown,8,12,4.54
Siren - Blackberry And Raspberry,Leipzig Gose,Mortalis Brewing Co.,Avon,5,7,4.54
We’ve Been Out There In Orbit - Double Chocolate,American Imperial Stout,Other Half Brewing Co.,Brooklyn,13.5,6,4.54
Breakfast,American Wild Ale,Plan Bee Farm Brewery,Poughkeepsie,12,4,4.54
Peregrine,Belgian Saison,Hudson Valley Brewery,Beacon,5,3,4.54
Z'Higgi Pils,Bohemian Pilsener,Naked Dove Brewing Company,Canandaigua,5.2,1,4.54
Ol' Danny Boy Stout,American Stout,Valcour Brewing Company,Plattsburgh,4.2,1,4.54
Dark Ale IV,American Black Ale,The North Brewery,Endicott,?,1,4.54
Triple Citra Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,10.5,142,4.53
All Infinity Everything,New England IPA,Other Half Brewing Co.,Brooklyn,8.7,115,4.53
Triple Mylar Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,11.3,42,4.53
Hoptimization 2,American Imperial IPA,Equilibrium Brewery,Middletown,8.5,23,4.53
As Above So Below,American Imperial Stout,Mortalis Brewing Co.,Avon,10,22,4.53
Double Sunset Imperial Stout (Honduran Pacayal Washed Coffee),American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,18,4.53
Icarus - Golden Grahams,American Imperial Stout,Mortalis Brewing Co.,Avon,10,17,4.53
Merkel (Montmorency),Belgian Saison,Suarez Family Brewery,Hudson,5,17,4.53
Everyone Stands Beneath Their Own Dome Of Heaven,American Imperial IPA,Root + Branch Brewing,Copiauge,8,14,4.53
Eveningland,American Imperial IPA,Hudson Valley Brewery,Beacon,8,9,4.53
Summer Whoa: 2017 Tango,American Wild Ale,Suarez Family Brewery,Hudson,5,5,4.53
"Scusa, Ma Parlo Solo Un Po' Di Macaroon Coconut",American Imperial Stout,Evil Twin Brewing NYC,Queens,13,4,4.53
Ok IPA,American IPA,Finback Brewery,Queens,4.5,3,4.53
There And Back Again (Guava & Passionfruit),American Wild Ale,Equilibrium Brewery,Middletown,6,3,4.53
Dark Cellar Blend 6th Anniversary Ale,American Strong Ale,Rushing Duck Brewing Company,Chester,9.1,3,4.53
The Anxious Abbot,Belgian Dubbel,Roots Brewing Company,Oneonta,8.2,2,4.53
Schwarz Beer,German Schwarzbier,Naked Dove Brewing Company,Canandaigua,5,1,4.53
Velvet Tongue Ride,English Stout,The Defiant Brewing Company,Pearl River,9.1,1,4.53
Double Dry Hopped All Citra Everything,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,450,4.52
Snowbirds - Bourbon Barrel-Aged,American Imperial Stout,Other Half Brewing Co.,Brooklyn,14.4,28,4.52
"We've Been Out There in Orbit (with Marcona Almonds, Cinnamon, and Vanilla)",American Imperial Stout,Other Half Brewing Co.,Brooklyn,14.5,26,4.52
Pastrytown - Bourbon Barrel-Aged,American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,7,4.52
DDH Tell Me I'm Pretty,American Imperial IPA,Greenpoint Beer & Ale Company,Brooklyn,8,6,4.52
Domain (Blend 5),American Wild Ale,Suarez Family Brewery,Hudson,?,5,4.52
Gordon Biersch,Belgian Tripel,Gordon Biersch Brewery Restaurant,Syracuse,9,3,4.52
Gordon Biersch,Belgian Tripel,Gordon Biersch Brewery & Restaurant,Buffalo,9,3,4.52
Smoked Weizenbock,German Weizenbock,C.H. Evans Brewing Company,Albany,6.2,2,4.52
Finback / Horus - BA The Hawk & Whale,American Imperial Stout,Finback Brewery,Queens,13.5,2,4.52
Early Morning Light,American Blonde Ale,Fox N Hare Brewing Company,Port Jervis,5.5,2,4.52
Escapist's Daydream,Berliner Weisse,Other Half Brewing Co.,Brooklyn,8,2,4.52
Solstice,Flanders Oud Bruin,Brown's Brewing Company,Troy,8,1,4.52
Fredonia Fire Fighter Ale,American Pale Ale (APA),Ellicottville Brewing Co.,Fredonia,4.4,1,4.52
Imperial Biscotti Break - Bourbon Barrel-Aged,American Imperial Stout,Evil Twin Brewing,Brooklyn,11.5,"1,657",4.51
III,New England IPA,Sand City Brewing Co.,Northport,9,21,4.51
Medusa - Dragon Fruit And Passion Fruit,Berliner Weisse,Mortalis Brewing Co.,Avon,4,16,4.51
Glycerin: Blackberry + Peach,New England IPA,Hudson Valley Brewery,Beacon,8,12,4.51
Holy Mole,American Imperial Stout,Bacchus & The Brewery at Bacchus,New Paltz,10,8,4.51
Political Juice 2.0,American Imperial IPA,District 96 Beer Factory,New City,8,3,4.51
Dweller,German Rauchbier,The North Brewery,Endicott,7,3,4.51
Medusa - Blueberries And Blueberry Muffins,Berliner Weisse,Mortalis Brewing Co.,Avon,4.5,2,4.51
Filthy Flow,American IPA,Thin Man Brewery,Buffalo,6.5,2,4.51
That’s All The Hops We Had,American Imperial IPA,Prison City Pub & Brewery,Auburn,7.9,1,4.51
Drie Hoofden,Flanders Red Ale,Three Heads Brewing,Rochester,4.8,1,4.51
Double Barrel Jesus,American Imperial Stout,Evil Twin Brewing,Brooklyn,12,802,4.5
Double Dry Hopped Double Citra Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,246,4.5
Domain (Blend 2),American Wild Ale,Suarez Family Brewery,Hudson,?,21,4.5
Glycerin: Mango + Pineapple,New England IPA,Hudson Valley Brewery,Beacon,8,12,4.5
Snowbirds 3 - VIP Version,American Imperial Stout,Other Half Brewing Co.,Brooklyn,16,10,4.5
Rhetoric,American IPA,Woodstock Brewing,Phoenicia,6.8,4,4.5
Maple Bourbon-Barrel Aged Imperial Mexican Biscotti Toasted Coconut Cake Br,American Imperial Stout,Evil Twin Brewing,Brooklyn,10.5,3,4.5
Cerberus - Berries And Cream,Berliner Weisse,Mortalis Brewing Co.,Avon,7,3,4.5
Chin Check: Four Roses Barrel Aged,American Barleywine,Prison City Pub & Brewery,Auburn,11.5,3,4.5
Saturnale,Belgian Quadrupel (Quad),Roots Brewing Company,Oneonta,10,3,4.5
One Love,American Lager,Alewife,Queens,5.5,2,4.5
Bronx Dance Party,German Kölsch,Barrier Brewing Company,Oceanside,5,2,4.5
Haus Sour #5,American Wild Ale,Common Roots Brewing Company,South Glens Falls,5.8,2,4.5
TB-7 Revisited IPA,American IPA,Druthers Brewing Company,Saratoga Springs,?,2,4.5
Syrup Sandwiches - Barrel-Aged,American Imperial Stout,Equilibrium Brewery,Middletown,?,2,4.5
Golden Road,Herb and Spice Beer,Ithaca Beer Company,Ithaca,7.5,2,4.5
Nyx,American Imperial Stout,Mortalis Brewing Co.,Avon,11.2,2,4.5
Smokey In The Rye,Smoke Beer,The North Brewery,Endicott,?,2,4.5
Area 291 IPA,American IPA,Brooklyn Brewery,Brooklyn,6.7,1,4.5
Mega Purple,Belgian Fruit Lambic,Brooklyn Brewery,Brooklyn,7.8,1,4.5
Ramble,American Wild Ale,Weaver Hollow Brewery,Andes,5,1,4.5
Salmagundi Vol. 1,American Wild Ale,Weaver Hollow Brewery,Andes,5,1,4.5
Wildest Dreams - Tangerine Gose,Leipzig Gose,Adirondack Pub & Brewery,Lake George,4.5,1,4.5
Brain Stew,American Imperial IPA,Beer Tree Brew Co.,Port Crane,8.3,1,4.5
Flying Upward,American Imperial IPA,Beer Tree Brew Co.,Port Crane,8.3,1,4.5
HOPera House Belgian IPA,Belgian IPA,Crossroads Brewing Company,Athens,6.7,1,4.5
Barrel-Aged Honey Ale,Belgian Strong Dark Ale,Common Roots Brewing Company,South Glens Falls,10,1,4.5
Glow Up - Cherry & Lime,Berliner Weisse,Folksbier Brewery,Brooklyn,4.5,1,4.5
Great Personality,American IPA,Greenpoint Beer & Ale Company,Brooklyn,6.6,1,4.5
BlackJack Chocolate Porter,American Porter,Honey Hollow Brewing Co.,Earlton,6.7,1,4.5
Guavalicious,Berliner Weisse,Gun Hill Brewing Company,Bronx,4.2,1,4.5
Lead a Horse to Beer,American Imperial IPA,Mikkeller NYC,Corona,8.6,1,4.5
Single Batch 35,New England IPA,"Middle Ages Brewing Co., Ltd.",Syracuse,7.8,1,4.5
Jerez Tuxedo,American Barleywine,Other Half Brewing Co.,Brooklyn,11,1,4.5
Other Half / Captain Lawrence - Into The NY Night: Coconut & Vanilla,American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,1,4.5
Kettle Juice,American IPA,Noble Shepherd Craft Brewery,Bloomfield,6,1,4.5
DIPA-lomatic Immunity,American Imperial IPA,Prison City Pub & Brewery,Auburn,8.5,1,4.5
Linus Loves Juicy,American IPA,Prison City Pub & Brewery,Auburn,6.2,1,4.5
3rd Anniversary DDH Sour Ale,American Wild Ale,Thin Man Brewery,Buffalo,?,1,4.5
Irish Cerberus,American Stout,The North Brewery,Endicott,8.7,1,4.5
Ocean of Emotion,American Imperial IPA,Rockaway Brewing Company,Queens,8,1,4.5
Two Scoops,American IPA,Rockaway Brewing Company,Queens,5.9,1,4.5
Double Mosaic Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,77,4.49
Power Of ONE,New England IPA,Sand City Brewing Co.,Northport,8.2,70,4.49
Triple Dry Hopped Triple Mosaic Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,11.5,65,4.49
International Playboy,New England IPA,Sand City Brewing Co.,Northport,8,32,4.49
Double Dry Hopped All Citra Everything - Experimental Version,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.5,27,4.49
A New Level of Science and Flower,American Imperial IPA,Equilibrium Brewery,Middletown,8.5,14,4.49
Hoptimization 3,American Imperial IPA,Equilibrium Brewery,Middletown,8.5,12,4.49
Coco What Now?!,American Imperial Stout,Other Half Brewing Co.,Brooklyn,12,10,4.49
Evil Twin / Horus Aged Ales - Even More Grasp,American Imperial Stout,Evil Twin Brewing NYC,Queens,17,7,4.49
The Next Episode - Double Dry-Hopped,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,8,4,4.49
Toxic,American Black Ale,The North Brewery,Endicott,7.5,4,4.49
The Nomadic Approach To Reinventing the Wheel. Edition 2,American Imperial IPA,Evil Twin Brewing NYC,Queens,8.5,2,4.49
May,German Schwarzbier,Swiftwater Brewing Company,Rochester,5.6,2,4.49
Broken Resolutions,American Imperial IPA,Broken Bow Brewery,Tuckahoe,12.2,1,4.49
Hoperbole,New England IPA,"Chatham Brewing, LLC",Chatham,8.5,1,4.49
A Representation Of Wild Things - Small Town Cultures,American Wild Ale,Common Roots Brewing Company,South Glens Falls,6,1,4.49
Frau Blucher,German Dunkelweizen,Prison City Pub & Brewery,Auburn,5,1,4.49
RD R&D: Sixth Anniversary Edition - All Citra,American Imperial IPA,Rushing Duck Brewing Company,Chester,9.4,1,4.49
Triple Cream Triple Dry Hopped Imperial Oat Cream IPA,New England IPA,Other Half Brewing Co.,Brooklyn,10,108,4.48
Even Mo Mofo,New England IPA,Sand City Brewing Co.,Northport,8.5,101,4.48
5th Anniversary,New England IPA,Other Half Brewing Co.,Brooklyn,10,61,4.48
Double Dry Hopped Citra + Galaxy,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,56,4.48
Mirrorshield,New England IPA,Hudson Valley Brewery,Beacon,7,48,4.48
Infinity + 2,New England IPA,Sand City Brewing Co.,Northport,9,35,4.48
Apotheosis,New England IPA,Hudson Valley Brewery,Beacon,6,33,4.48
Star Chamber,New England IPA,Hudson Valley Brewery,Beacon,7,30,4.48
Life and Fate I,American IPA,Root + Branch Brewing,Copiauge,8,13,4.48
Crystal Vibration,American IPA,Grimm Artisanal Ales,Brooklyn,7,9,4.48
Double Dry Hopped Always & Forever,American Imperial IPA,Other Half Brewing Co.,Brooklyn,7.8,8,4.48
El Chupacabra,Chile Beer,The North Brewery,Endicott,8,8,4.48
Settle Down 'Vintage',Belgian Witbier,Suarez Family Brewery,Hudson,?,5,4.48
Mosaic Sunset,New England IPA,Beer Tree Brew Co.,Port Crane,6.7,4,4.48
Mother of All Photo Bombs,American Imperial IPA,District 96 Beer Factory,New City,8,3,4.48
Here and Now (Blackberry/Raspberry/Boysenberry),American Wild Ale,Equilibrium Brewery,Middletown,?,3,4.48
Ground Is Lava,American Imperial Stout,Hudson Valley Brewery,Beacon,9,3,4.48
"Gimme, Gimme - Pineapple Mango",Berliner Weisse,Kills Boro Brewing Company,Staten Island,6,3,4.48
Down By The River,American Pale Ale (APA),Roots Brewing Company,Oneonta,6.8,2,4.48
Blueberry in the Glasses Wit,American Pale Wheat Ale,Artisanal Brew Works,Saratoga Springs,4.6,1,4.48
Golf,American Black Ale,Copper City Brewing Co,Rome,6.1,1,4.48
Come Correct,American IPA,Prison City Pub & Brewery,Auburn,6.5,1,4.48
Pile Of Crowns,New England IPA,LIC Beer Project,Queens,8.5,109,4.47
Infinity Minus ONE +2,New England IPA,Sand City Brewing Co.,Northport,8.2,58,4.47
Subglitch,New England IPA,Hudson Valley Brewery,Beacon,6,31,4.47
Amorphia,New England IPA,Hudson Valley Brewery,Beacon,6,29,4.47
Holocene,New England IPA,Hudson Valley Brewery,Beacon,6,23,4.47
Ménage à III,American Imperial IPA,Sand City Brewing Co.,Northport,10.2,19,4.47
Citra + Ekuanot,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.5,11,4.47
Hop Wave 5,American Imperial IPA,Equilibrium Brewery,Middletown,8,9,4.47
Double Sunset Imperial Stout (Brazilian Mogiana Coffee),American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,9,4.47
Wyld Mofo,American Imperial IPA,Sand City Brewing Co.,Northport,8.5,9,4.47
Equilibrium / Other Half - Dream Wave Distortion,American Imperial IPA,Equilibrium Brewery,Middletown,10,7,4.47
"Other Half / Captain Lawrence - Into The NY Night: Cacao Nibs, Macadamia, A",American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,6,4.47
Oatmeal Creme Stout,American Stout,Pine Island Brewing Company,Pine Island,5,5,4.47
Fresh to Death,New England IPA,Aurora Ale & Lager Co.,King Ferry,6.8,4,4.47
You're All I Need: Citra,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,8,4,4.47
You're All I Need: Vic Secret,New England IPA,Interboro Spirits and Ales,Brooklyn,8,4,4.47
Lupulin Vibrations Loral,American Imperial IPA,Alewife,Queens,7.6,3,4.47
Coffee Blonde Ale,American Blonde Ale,Gentle Giant Brewing Company,Pearl River,5.5,2,4.47
STrEAM,California Common / Steam Beer,Lake Placid Craft Brewing Company,Lake Placid,?,2,4.47
That Boy Good!,American IPA,Prison City Pub & Brewery,Auburn,6.5,2,4.47
Udderly Smooove,English Sweet / Milk Stout,Prison City Pub & Brewery,Auburn,10.5,2,4.47
English IPA,English India Pale Ale (IPA),Greenport Harbor Brewing Company,Greenport,5.8,1,4.47
Nor' Easter,English Oatmeal Stout,Ruckus Brewing,New York,7,1,4.47
Little Bird,Belgian Saison,Silver Lake Brewing Project,Perry,4.7,1,4.47
Schwarzbier,German Schwarzbier,Steuben Brewing Company,Hammondsport,4.9,1,4.47
Space Hallucinations,American Imperial IPA,Other Half Brewing Co.,Brooklyn,10.5,65,4.46
"Triangle Test with Citra T-90, T-45 Lupulin Powder",American Imperial IPA,Other Half Brewing Co.,Brooklyn,10,43,4.46
Mass Riot,New England IPA,Prison City Pub & Brewery,Auburn,6.3,36,4.46
All 5th Anniversary Everything - Coffee,American Imperial Stout,Other Half Brewing Co.,Brooklyn,15.4,32,4.46
Soup Du Jour - Vic Secret,New England IPA,Sand City Brewing Co.,Northport,7.2,19,4.46
Lab Daydream,American Imperial IPA,Other Half Brewing Co.,Brooklyn,10,17,4.46
Publick House Porter,American Porter,Southampton Publick House,Southampton,5.5,10,4.46
Hazel,American Imperial Stout,Mortalis Brewing Co.,Avon,10.5,7,4.46
Double Dry Hopped Lambo Door,American Imperial IPA,Grimm Artisanal Ales,Brooklyn,8,4,4.46
Fractal Motueka/Citra,American Imperial IPA,Equilibrium Brewery,Middletown,6.8,4,4.46
Milk Of The Gods - Pink Guava And Peaches,New England IPA,Mortalis Brewing Co.,Avon,7.5,4,4.46
Simply Roasted,American Brown Ale,Prison City Pub & Brewery,Auburn,11,3,4.46
Parabolic,American Pale Ale (APA),Woodstock Brewing,Phoenicia,5.9,2,4.46
Taproom Series #8 - Motra,American Imperial IPA,Artisanal Brew Works,Saratoga Springs,7.5,2,4.46
Animal Balloon Sour Farmhouse,Belgian Saison,Hudson Valley Brewery,Beacon,5,2,4.46
East Coast Vs. West Coast IPA,American IPA,Iron Tug Brewing,Rochester,6.7,2,4.46
Styx,American Imperial Stout,Mortalis Brewing Co.,Avon,10.5,2,4.46
"Vaporous Aromatics w/Pineapple, Dry Hopped w/ Galaxy and Citra",American Imperial IPA,Captain Lawrence Brewing Co.,Elmsford,8,1,4.46
Speak Up,American IPA,Fifth Frame Brewing Co.,Rochester,5.8,1,4.46
Farmhouse Dubbel Maple Ale,Belgian Dubbel,Griffin Hill Farm Brewery,Onondaga,?,1,4.46
Ikigai--Sour Farmhouse,Belgian Saison,Hudson Valley Brewery,Beacon,5,1,4.46
Klink With NY Tart Cherries,American Wild Ale,Prison City Pub & Brewery,Auburn,4.5,1,4.46
Even More Juicy,American IPA,Unified Beerworks,Ballston Spa,7.6,1,4.46
